color_mean_R,color_std_R,color_skew_R,color_mean_G,color_std_G,color_skew_G,color_mean_B,color_std_B,color_skew_B,color_hist_R_0,color_hist_R_1,color_hist_R_2,color_hist_R_3,color_hist_R_4,color_hist_R_5,color_hist_R_6,color_hist_R_7,color_hist_R_8,color_hist_R_9,color_hist_R_10,color_hist_R_11,color_hist_R_12,color_hist_R_13,color_hist_R_14,color_hist_R_15,color_hist_R_16,color_hist_R_17,color_hist_R_18,color_hist_R_19,color_hist_R_20,color_hist_R_21,color_hist_R_22,color_hist_R_23,color_hist_R_24,color_hist_R_25,color_hist_R_26,color_hist_R_27,color_hist_R_28,color_hist_R_29,color_hist_R_30,color_hist_R_31,color_hist_G_0,color_hist_G_1,color_hist_G_2,color_hist_G_3,color_hist_G_4,color_hist_G_5,color_hist_G_6,color_hist_G_7,color_hist_G_8,color_hist_G_9,color_hist_G_10,color_hist_G_11,color_hist_G_12,color_hist_G_13,color_hist_G_14,color_hist_G_15,color_hist_G_16,color_hist_G_17,color_hist_G_18,color_hist_G_19,color_hist_G_20,color_hist_G_21,color_hist_G_22,color_hist_G_23,color_hist_G_24,color_hist_G_25,color_hist_G_26,color_hist_G_27,color_hist_G_28,color_hist_G_29,color_hist_G_30,color_hist_G_31,color_hist_B_0,color_hist_B_1,color_hist_B_2,color_hist_B_3,color_hist_B_4,color_hist_B_5,color_hist_B_6,color_hist_B_7,color_hist_B_8,color_hist_B_9,color_hist_B_10,color_hist_B_11,color_hist_B_12,color_hist_B_13,color_hist_B_14,color_hist_B_15,color_hist_B_16,color_hist_B_17,color_hist_B_18,color_hist_B_19,color_hist_B_20,color_hist_B_21,color_hist_B_22,color_hist_B_23,color_hist_B_24,color_hist_B_25,color_hist_B_26,color_hist_B_27,color_hist_B_28,color_hist_B_29,color_hist_B_30,color_hist_B_31,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,lbp_16,lbp_17,lbp_18,lbp_19,lbp_20,lbp_21,lbp_22,lbp_23,lbp_24,lbp_25,haralick_contrast,haralick_dissimilarity,haralick_homogeneity,haralick_energy,haralick_correlation,shape_area,shape_perimeter,shape_circularity,shape_asymmetry,shape_border_irregularity,image_name
0.46514374,0.31444293,-0.63515574,0.35217345,0.25130925,-0.304474,0.3575514,0.25338176,-0.3747048,28471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,121.0,238.0,541.0,720.0,923.0,1072.0,1422.0,1611.0,2575.0,4390.0,7064.0,9797.0,11124.0,9986.0,6166.0,2896.0,806.0,47.0,10.0,5.0,2.0,3.0,28471.0,0.0,0.0,3.0,144.0,460.0,761.0,902.0,1167.0,1396.0,1552.0,1988.0,2635.0,3888.0,5888.0,7057.0,7540.0,6524.0,5698.0,3961.0,2821.0,2266.0,2010.0,1346.0,1053.0,443.0,21.0,2.0,1.0,2.0,0.0,0.0,28471.0,0.0,0.0,16.0,162.0,516.0,899.0,1029.0,1301.0,1420.0,1516.0,1521.0,1765.0,2466.0,3573.0,5666.0,7582.0,8716.0,8028.0,6102.0,3895.0,2315.0,1661.0,829.0,458.0,88.0,0.0,2.0,2.0,1.0,0.0,0.0,3051,1558,1244,1105,1012,938,909,997,1113,1224,1343,1618,1708,2800,1408,2337,1015,2104,847,954,988,1144,1375,1414,27954,27840,823.9801129943501,12.384384180790956,0.35238756113353914,0.2891269341536926,0.9109095425442808,61134.0,925.5188980102539,0.8968547130135973,1.0,0.9953759484190302,ISIC_0012623.jpg
0.549684,0.38288864,-0.5303473,0.41152114,0.3175491,-0.16251,0.409665,0.3294636,-0.088239774,28471.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,82.0,175.0,344.0,420.0,583.0,636.0,738.0,802.0,881.0,1017.0,1065.0,1206.0,1398.0,1832.0,2620.0,3566.0,4282.0,4975.0,5769.0,6949.0,8274.0,7485.0,4510.0,1531.0,28767.0,330.0,517.0,674.0,826.0,975.0,1096.0,1147.0,1106.0,1130.0,1192.0,1097.0,1208.0,1210.0,1317.0,1569.0,2243.0,2924.0,3446.0,3864.0,4149.0,4160.0,4333.0,5160.0,5445.0,4809.0,3211.0,1538.0,515.0,42.0,0.0,0.0,29629.0,688.0,1025.0,1160.0,1275.0,1158.0,1172.0,1153.0,1121.0,1026.0,952.0,843.0,852.0,886.0,983.0,1117.0,1412.0,1999.0,2953.0,3742.0,3920.0,3881.0,3972.0,4596.0,5419.0,5280.0,4202.0,2450.0,928.0,191.0,15.0,0.0,3461,1786,1484,1039,870,787,808,825,837,990,1079,1228,1289,2411,1124,2192,910,2035,773,800,894,1103,1432,1562,27968,30313,1066.0004519774013,15.47832768361582,0.3374371655647026,0.2778400066527815,0.9262458994340892,52840.5,2507.8287638425827,0.10557984593690002,0.8388568613494908,0.8603422449444789,ISIC_0020861.jpg
0.56182116,0.37941906,-0.68039906,0.36812943,0.26571575,-0.4265422,0.30344412,0.22379251,-0.33931598,28471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,68.0,71.0,97.0,151.0,285.0,512.0,588.0,610.0,726.0,647.0,676.0,879.0,1159.0,1679.0,3726.0,8971.0,14935.0,14400.0,7781.0,2681.0,689.0,144.0,28990.0,427.0,532.0,596.0,727.0,702.0,651.0,670.0,610.0,561.0,612.0,731.0,841.0,900.0,1220.0,2281.0,4907.0,10011.0,12806.0,11285.0,6542.0,2374.0,639.0,213.0,104.0,42.0,21.0,4.0,1.0,0.0,0.0,0.0,29527.0,875.0,1112.0,1133.0,959.0,849.0,676.0,573.0,534.0,768.0,958.0,1202.0,2627.0,5526.0,9971.0,12616.0,10792.0,5835.0,2237.0,762.0,227.0,127.0,76.0,24.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3541,1825,1532,1223,964,878,825,845,885,979,1057,1186,1313,2488,1126,2236,961,2054,890,896,1066,1213,1402,1516,28646,28453,932.3144858757062,12.84639548022599,0.3504310758490271,0.2893035934534864,0.9148464578521184,61134.0,925.5188980102539,0.8968547130135973,1.0,0.9953759484190302,ISIC_0021202.jpg
0.5059267,0.34218428,-0.64158505,0.44121638,0.3076237,-0.504133,0.45833507,0.33049428,-0.4032161,28471.0,0.0,2.0,2.0,11.0,12.0,4.0,5.0,1.0,12.0,18.0,46.0,108.0,221.0,285.0,524.0,623.0,885.0,1490.0,2656.0,4179.0,6157.0,8233.0,8515.0,8307.0,7422.0,5507.0,4016.0,1837.0,420.0,31.0,0.0,28505.0,36.0,53.0,88.0,124.0,154.0,266.0,272.0,426.0,448.0,531.0,607.0,761.0,863.0,1049.0,1354.0,1873.0,2789.0,4373.0,6091.0,7815.0,8415.0,7588.0,6062.0,4803.0,3147.0,1223.0,272.0,12.0,0.0,0.0,0.0,28627.0,122.0,218.0,305.0,328.0,392.0,457.0,505.0,526.0,543.0,521.0,542.0,654.0,822.0,1042.0,1219.0,1441.0,1773.0,2345.0,3489.0,4936.0,6425.0,6817.0,6534.0,5589.0,5135.0,4505.0,2894.0,1060.0,226.0,8.0,0.0,3245,1967,1233,938,801,806,765,778,880,936,990,1053,1053,2199,951,1995,778,1872,735,678,790,989,1294,1673,28232,32369,871.0372655367233,12.927096045197741,0.3506482495364249,0.2891381945162296,0.9329254176780901,61127.0,930.3473250865936,0.8874680347417385,0.999526976085831,0.9952781803083837,ISIC_0022657.jpg
0.40332514,0.28758806,-0.31373772,0.22956173,0.17622423,0.120539516,0.19721138,0.16077487,0.4039659,28471.0,0.0,0.0,0.0,0.0,14.0,65.0,207.0,477.0,709.0,1137.0,1602.0,2286.0,3060.0,3902.0,4445.0,4819.0,5108.0,4877.0,4803.0,4727.0,4398.0,3851.0,3307.0,2662.0,2131.0,1567.0,852.0,382.0,128.0,13.0,0.0,28528.0,252.0,673.0,1208.0,2024.0,3160.0,4356.0,5324.0,5627.0,5982.0,5733.0,5459.0,5104.0,4401.0,3612.0,2984.0,2215.0,1756.0,1005.0,417.0,151.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28930.0,583.0,1680.0,2932.0,4366.0,5366.0,5929.0,5943.0,5605.0,5373.0,4856.0,4052.0,3604.0,3065.0,2377.0,1938.0,1494.0,957.0,548.0,255.0,110.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3436,1579,1440,1109,1009,997,977,1005,996,1118,1090,1235,1214,2367,1190,2248,964,2096,949,914,940,1184,1385,1517,27879,29162,850.1565649717514,17.663796610169488,0.32048981597623116,0.28899996404935846,0.8448456889415817,61025.0,949.6610333919525,0.8503161259944955,0.9936267101473675,0.9936093133064681,ISIC_0018521.jpg
0.49012512,0.3370055,-0.5563454,0.30228803,0.21730687,-0.29060718,0.2835959,0.20922141,-0.20902854,28471.0,0.0,0.0,0.0,0.0,1.0,31.0,71.0,94.0,100.0,160.0,236.0,365.0,592.0,754.0,1132.0,1436.0,2021.0,2786.0,3551.0,4395.0,5220.0,5984.0,6652.0,7144.0,7016.0,6099.0,3697.0,1529.0,387.0,72.0,4.0,28629.0,121.0,223.0,370.0,535.0,796.0,1080.0,1492.0,1987.0,2562.0,3254.0,4144.0,4879.0,5780.0,6751.0,7041.0,7027.0,6279.0,4280.0,2049.0,608.0,100.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28837.0,235.0,549.0,766.0,1078.0,1445.0,1819.0,2009.0,2264.0,2626.0,3004.0,3786.0,5106.0,6429.0,7254.0,7512.0,6841.0,4810.0,2594.0,846.0,169.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3918,2279,1528,887,565,491,459,386,433,481,560,602,721,1863,613,1754,494,1686,476,450,444,749,1316,2255,28463,36127,809.1880451977403,14.985288135593224,0.33811263918983553,0.289067607734083,0.8995906687456208,60992.0,1036.5727207660675,0.7133180074818639,0.996549583753316,0.9930962615605055,ISIC_0018680.jpg
0.5050171,0.34003717,-0.6700617,0.44144765,0.30382964,-0.5560172,0.44293955,0.31353927,-0.4782254,28471.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,24.0,79.0,182.0,273.0,396.0,473.0,614.0,774.0,970.0,1626.0,3275.0,5818.0,8348.0,11113.0,10939.0,8263.0,5299.0,2522.0,498.0,18.0,1.0,0.0,28471.0,0.0,1.0,12.0,44.0,103.0,206.0,302.0,407.0,428.0,488.0,496.0,619.0,661.0,908.0,1231.0,1986.0,3080.0,4358.0,6051.0,8077.0,9659.0,9520.0,6973.0,3779.0,1721.0,394.0,25.0,0.0,0.0,0.0,0.0,28529.0,141.0,208.0,293.0,301.0,379.0,415.0,435.0,465.0,446.0,454.0,467.0,504.0,591.0,939.0,1196.0,1583.0,2234.0,3265.0,5016.0,6742.0,8235.0,8946.0,8166.0,5669.0,2907.0,1189.0,269.0,16.0,0.0,0.0,0.0,3273,1665,1311,1156,1062,1069,1006,1087,1133,1209,1258,1387,1308,2435,1142,2166,940,2102,865,862,980,1161,1374,1520,28021,28508,1001.1470282485875,13.46336723163842,0.3519702338674924,0.2891825498898189,0.9209805406366074,60998.5,1027.9869335889816,0.725360380427661,0.983861586735301,0.9931697547950112,ISIC_0023831.jpg
0.5639478,0.3782554,-0.7085754,0.45354518,0.30587026,-0.6394753,0.4301987,0.29100373,-0.6091157,28471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,18.0,27.0,62.0,53.0,102.0,143.0,237.0,303.0,540.0,775.0,1337.0,2153.0,3355.0,5714.0,9816.0,12643.0,13098.0,6970.0,2661.0,1065.0,293.0,28471.0,0.0,0.0,0.0,6.0,22.0,28.0,40.0,51.0,78.0,107.0,143.0,265.0,431.0,616.0,1064.0,1602.0,2521.0,4192.0,6853.0,9946.0,11367.0,9958.0,6562.0,3026.0,1522.0,747.0,247.0,70.0,36.0,17.0,10.0,28471.0,0.0,1.0,8.0,21.0,22.0,30.0,60.0,71.0,92.0,145.0,240.0,407.0,707.0,1171.0,1856.0,2960.0,4650.0,7383.0,9860.0,10853.0,9229.0,5655.0,2776.0,1669.0,960.0,456.0,141.0,51.0,30.0,14.0,9.0,3630,2056,1327,853,755,692,613,609,657,662,775,975,1016,2071,735,1825,551,1726,540,593,694,888,1246,1973,28558,33980,1246.6988700564973,15.463050847457632,0.3479965886369823,0.28920821863263857,0.9077990475017135,61134.0,925.5188980102539,0.8968547130135973,1.0,0.9953759484190302,ISIC_0012346.jpg
0.58937347,0.4019812,-0.63478726,0.49884167,0.3656183,-0.35089883,0.48645592,0.38091412,-0.17833638,28471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,48.0,53.0,85.0,137.0,207.0,350.0,520.0,670.0,820.0,1009.0,1280.0,1512.0,1720.0,1784.0,1869.0,2601.0,4306.0,7221.0,10486.0,11438.0,9588.0,3427.0,28527.0,70.0,83.0,120.0,220.0,349.0,467.0,509.0,633.0,629.0,796.0,970.0,1208.0,1368.0,1430.0,1298.0,1247.0,1233.0,1248.0,1306.0,1405.0,1703.0,2030.0,2629.0,3853.0,6179.0,9066.0,8873.0,7019.0,3023.0,504.0,5.0,28748.0,272.0,526.0,732.0,746.0,813.0,881.0,969.0,1158.0,1240.0,1250.0,1128.0,1039.0,947.0,871.0,827.0,748.0,807.0,939.0,1207.0,1540.0,1656.0,1399.0,1431.0,2283.0,3881.0,6211.0,8135.0,7905.0,6103.0,2968.0,607.0,3384,2054,1193,842,682,580,585,647,731,829,1048,1284,1431,2566,1066,2096,718,1769,527,622,686,816,1218,1813,28145,32668,1522.9261920903955,14.925310734463276,0.35138692060282334,0.2891646419865973,0.9157026675288783,61134.0,925.5188980102539,0.8968547130135973,1.0,0.9953759484190302,ISIC_0023628.jpg
0.59011656,0.4005204,-0.6654328,0.46944782,0.33073956,-0.51677597,0.40776882,0.2939941,-0.41873905,28471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,68.0,108.0,124.0,133.0,222.0,284.0,364.0,452.0,476.0,457.0,423.0,443.0,391.0,495.0,903.0,2494.0,5336.0,7788.0,9840.0,10713.0,9813.0,7228.0,2486.0,28569.0,94.0,174.0,240.0,271.0,390.0,473.0,414.0,450.0,476.0,379.0,396.0,373.0,324.0,359.0,344.0,415.0,770.0,1699.0,3312.0,5572.0,7340.0,8972.0,9346.0,8180.0,5927.0,3326.0,1200.0,214.0,1.0,0.0,0.0,28893.0,281.0,455.0,558.0,552.0,591.0,548.0,484.0,404.0,364.0,357.0,327.0,386.0,559.0,1087.0,2124.0,3771.0,5156.0,6332.0,7482.0,7993.0,7375.0,5911.0,4389.0,2355.0,993.0,256.0,17.0,0.0,0.0,0.0,0.0,3817,2091,1436,1013,799,732,648,679,669,733,823,901,903,2065,900,1990,712,1825,684,680,782,1012,1287,1959,28602,32258,1090.1387118644068,13.653107344632767,0.3475650478629414,0.28917402430010536,0.9289014770234144,61134.0,925.5188980102539,0.8968547130135973,1.0,0.9953759484190302,ISIC_0036147.jpg
